date,open,high,low,close,volume,Index
2016-03-29,26.5823,26.8744,26.419,26.8572,3181052,HSBC
2016-03-30,27.1064,27.3169,26.9689,27.0548,2673743,HSBC
2016-03-31,26.8916,27.0205,26.7197,26.7369,2136042,HSBC
2016-04-01,26.2214,26.5737,26.2128,26.5651,2396656,HSBC
2016-04-04,26.5221,26.6295,26.4105,26.4534,1799748,HSBC
2016-04-05,25.62,25.6209,25.4181,25.4654,4306004,HSBC
2016-04-06,25.3021,25.6372,25.199,25.6028,2776844,HSBC
2016-04-07,25.2678,25.4052,25.0359,25.1389,2644414,HSBC
2016-04-08,25.5083,25.6286,25.3623,25.431,2519149,HSBC
2016-04-11,25.7919,25.895,25.6458,25.6544,2178294,HSBC
2016-04-12,25.5943,26.0238,25.431,25.9723,2842135,HSBC
2016-04-13,27.2782,27.4586,27.0978,27.4414,3883568,HSBC
2016-04-14,27.5188,27.5445,27.2954,27.4414,2515034,HSBC
2016-04-15,27.682,27.682,27.4114,27.4243,2629474,HSBC
2016-04-18,27.2696,27.603,27.2267,27.5445,1835318,HSBC
2016-04-19,28.1631,28.2834,27.9569,28.2233,2526146,HSBC
2016-04-20,28.8247,28.9364,28.6529,28.8333,3553808,HSBC
2016-04-21,29.2199,29.2714,28.9106,28.9621,3139798,HSBC
2016-04-22,28.7817,29.0214,28.7302,28.9192,2214448,HSBC
2016-04-25,28.6099,28.7989,28.5035,28.6872,2274574,HSBC
2016-04-26,29.6495,29.6752,29.4003,29.512,3393750,HSBC
2016-04-27,28.9106,29.3702,28.9106,29.2886,2120296,HSBC
2016-04-28,28.8333,29.3745,28.8075,29.0309,1599080,HSBC
2016-04-29,28.7302,28.8676,28.5068,28.6357,2474064,HSBC
2016-05-02,28.7817,28.7817,28.4123,28.5583,1543258,HSBC
2016-05-03,28.249,28.2748,27.8968,28.0171,1887170,HSBC
2016-05-04,27.4672,27.639,27.2868,27.3727,2693989,HSBC
2016-05-05,27.261,27.4586,27.1837,27.2352,2842202,HSBC
2016-05-06,26.7541,27.1923,26.7283,27.0978,3701735,HSBC
2016-05-09,27.0119,27.0859,26.7026,26.8228,2544372,HSBC
2016-05-10,26.9345,27.1751,26.9088,27.1321,1974970,HSBC
2016-05-11,26.7799,27.115,26.694,26.8572,2629629,HSBC
2016-05-12,26.9689,27.0806,26.5342,26.6252,2422008,HSBC
2016-05-13,26.6768,26.84,26.4491,26.4706,3205509,HSBC
2016-05-16,26.6338,26.8459,26.6338,26.7885,2184847,HSBC
2016-05-17,27.029,27.2266,26.8486,26.9775,3197621,HSBC
2016-05-18,27.1259,27.5013,27.0735,27.4577,2508712,HSBC
2016-05-19,27.8069,27.8156,27.2176,27.3704,2748057,HSBC
2016-05-20,27.1783,27.3966,27.1085,27.1608,3125335,HSBC
2016-05-23,27.1347,27.2394,27.0299,27.0299,1915144,HSBC
2016-05-24,27.7982,27.9291,27.6934,27.8506,3600266,HSBC
2016-05-25,28.6101,28.8459,28.5752,28.6625,2931535,HSBC
2016-05-26,28.4879,28.6363,28.3395,28.4704,2015810,HSBC
2016-05-27,28.6189,28.7585,28.5403,28.6101,1604689,HSBC
2016-05-31,28.6887,28.7553,28.2347,28.322,2664974,HSBC
2016-06-01,27.9117,28.2784,27.8816,28.1911,2713758,HSBC
2016-06-02,28.226,28.3919,28.1639,28.3831,1813760,HSBC
2016-06-03,28.5054,28.5054,27.999,28.4093,2365825,HSBC
2016-06-06,28.2085,28.5752,28.1998,28.3744,2380278,HSBC
2016-06-07,28.4442,28.6189,28.3569,28.4006,1702083,HSBC
2016-06-08,28.322,28.5054,28.3133,28.3657,1234859,HSBC
2016-06-09,28.2522,28.2522,28.0339,28.1387,2142062,HSBC
2016-06-10,27.2569,27.2831,26.9513,27.0735,4574367,HSBC
2016-06-13,26.8116,27.1783,26.7592,26.8204,3611735,HSBC
2016-06-14,26.6021,26.7069,26.1132,26.3227,5259840,HSBC
2016-06-15,26.5061,26.6807,26.3314,26.3926,3106648,HSBC
2016-06-16,26.0521,26.6807,25.86,26.637,2934257,HSBC
2016-06-17,26.9688,27.1958,26.7942,27.1958,3633549,HSBC
2016-06-20,28.2696,28.2784,27.8942,27.9379,4604693,HSBC
2016-06-21,28.1823,28.5141,28.0164,28.3133,5571218,HSBC
2016-06-22,28.5839,28.8546,28.4181,28.5054,3905130,HSBC
2016-06-23,29.2475,29.4657,28.9419,29.4483,3843156,HSBC
2016-06-24,26.4537,27.7283,26.4362,26.7854,12283732,HSBC
2016-06-27,25.5544,25.7334,24.9869,25.6505,11420077,HSBC
2016-06-28,26.3751,26.4275,25.8561,26.314,5415473,HSBC
2016-06-29,26.541,26.8351,26.3926,26.768,3814332,HSBC
2016-06-30,26.8204,27.414,26.7418,27.3355,7364952,HSBC
2016-07-01,27.4926,27.5188,27.2569,27.3529,4243995,HSBC
2016-07-05,26.6807,26.7243,26.3751,26.4537,4670593,HSBC
2016-07-06,26.1219,26.3576,25.9036,26.3576,4908003,HSBC
2016-07-07,26.5846,26.6283,26.087,26.2092,3543044,HSBC
2016-07-08,26.768,26.7767,26.541,26.637,2607279,HSBC
2016-07-11,27.1783,27.2613,27.0648,27.1347,2991386,HSBC
2016-07-12,27.3617,27.6498,27.3093,27.5363,3507482,HSBC
2016-07-13,27.5363,27.5974,27.3529,27.4315,4596943,HSBC
2016-07-14,27.8593,27.999,27.7414,27.8418,3296638,HSBC
2016-07-15,27.8244,27.8593,27.6323,27.8156,2603297,HSBC
2016-07-18,27.9204,28.2173,27.8418,28.0514,2021403,HSBC
2016-07-19,27.9641,28.0688,27.8506,27.9117,2079221,HSBC
2016-07-20,28.4879,28.549,28.3395,28.4355,2157403,HSBC
2016-07-21,28.4181,28.5665,28.3177,28.3569,1599772,HSBC
2016-07-22,28.2434,28.2871,28.1561,28.2696,1307754,HSBC
2016-07-25,28.0863,28.1736,28.0164,28.0776,1706652,HSBC
2016-07-26,28.5752,28.6101,28.2042,28.4006,2288945,HSBC
2016-07-27,28.5927,28.6363,28.4137,28.5577,1914024,HSBC
2016-07-28,28.2522,28.2958,28.1299,28.2696,3564831,HSBC
2016-07-29,28.6625,28.7935,28.4442,28.5927,2064707,HSBC
2016-08-01,28.1649,28.3395,28.0688,28.1649,2305765,HSBC
2016-08-02,28.1998,28.2085,27.9641,28.0776,2489079,HSBC
2016-08-03,29.5094,29.553,29.23,29.4221,4894657,HSBC
2016-08-04,29.6141,29.911,29.5792,29.9023,3225466,HSBC
2016-08-05,30.1292,30.3824,30.1205,30.3824,2282460,HSBC
2016-08-08,30.5221,30.6487,30.5134,30.6269,1864160,HSBC
2016-08-09,30.5832,30.8277,30.5745,30.7317,2057694,HSBC
2016-08-10,31.0505,31.0682,30.8379,30.9177,1949094,HSBC
2016-08-11,31.1656,31.3073,31.0999,31.2631,1712025,HSBC
2016-08-12,31.2188,31.2719,31.1169,31.2188,1402785,HSBC
2016-08-15,31.2188,31.3605,31.2188,31.3428,1499108,HSBC
2016-08-16,31.2808,31.4048,31.2099,31.3073,5832148,HSBC
2016-08-17,31.4136,31.5553,31.2985,31.511,6275319,HSBC
2016-08-18,31.7413,31.7978,31.5465,31.759,3547065,HSBC
2016-08-19,31.4225,31.5553,31.3073,31.5376,1236653,HSBC
2016-08-22,31.4668,31.5642,31.3693,31.5287,1560603,HSBC
2016-08-23,31.7413,31.8299,31.5996,31.6085,2186014,HSBC
2016-08-24,31.9007,31.9096,31.6439,31.6793,1546609,HSBC
2016-08-25,31.6793,31.7679,31.6527,31.759,1411901,HSBC
2016-08-26,31.9539,32.1797,31.6129,31.7679,2167815,HSBC
2016-08-29,31.759,32.0247,31.7413,31.9981,996792,HSBC
2016-08-30,32.3613,32.4232,32.2815,32.3878,1764386,HSBC
2016-08-31,32.9369,32.9635,32.7244,32.9458,2816898,HSBC
2016-09-01,33.7783,33.8226,33.3222,33.548,3845942,HSBC
2016-09-02,34.106,34.4071,34.0085,34.2299,5074767,HSBC
2016-09-06,34.1768,34.1945,33.796,33.9465,2456690,HSBC
2016-09-07,33.734,33.8491,33.4594,33.5214,3343755,HSBC
2016-09-08,33.6543,33.8668,33.5834,33.8226,2098396,HSBC
2016-09-09,34.0263,34.0454,33.7517,33.8137,3216640,HSBC
2016-09-12,33.1406,33.7074,33.0786,33.6543,2540682,HSBC
2016-09-13,32.8661,32.9192,32.5915,32.7332,3756761,HSBC
2016-09-14,32.8661,33.1849,32.7864,32.8572,2553238,HSBC
2016-09-15,33.238,33.548,33.1229,33.5126,2237414,HSBC
2016-09-16,32.9989,33.0343,32.8306,32.9192,3114954,HSBC
2016-09-19,33.5126,33.6189,33.2912,33.424,2221156,HSBC
2016-09-20,33.5391,33.5834,33.3266,33.4772,1896019,HSBC
2016-09-21,33.8757,34.0351,33.6543,34.0351,2290137,HSBC
2016-09-22,33.7694,33.8491,33.4417,33.486,2787036,HSBC
2016-09-23,32.9901,33.0698,32.8926,32.9546,1992193,HSBC
2016-09-26,32.7598,32.8262,32.5827,32.6269,2931740,HSBC
2016-09-27,32.8749,33.3,32.7421,33.2912,2403416,HSBC
2016-09-28,33.2026,33.238,32.7952,33.1495,1579230,HSBC
2016-09-29,33.2912,33.4594,32.6757,32.9103,2729356,HSBC
2016-09-30,33.052,33.4506,32.9723,33.3089,2362987,HSBC
2016-10-03,33.3532,33.4993,33.207,33.3177,2585471,HSBC
2016-10-04,33.858,33.982,33.5214,33.6189,3671834,HSBC
2016-10-05,33.8137,34.0174,33.6631,33.9288,1996438,HSBC
2016-10-06,33.8314,33.8934,33.6941,33.8403,1436371,HSBC
2016-10-07,33.9997,34.1857,33.796,34.1414,1939925,HSBC
2016-10-10,34.2034,34.3274,34.1104,34.1325,1494163,HSBC
2016-10-11,33.8314,33.858,33.1947,33.3089,3158376,HSBC
2016-10-12,33.4152,33.454,33.2026,33.3709,1410838,HSBC
2016-10-13,32.7952,33.1849,32.5827,33.114,1971944,HSBC
2016-10-14,33.548,33.6304,33.3443,33.362,1356192,HSBC
2016-10-17,33.176,33.2735,33.0255,33.1052,1405911,HSBC
2016-10-18,33.9288,34.0882,33.7606,33.9465,3085346,HSBC
2016-10-19,33.9017,34.0722,33.8658,33.9376,1321833,HSBC
2016-10-20,33.9196,34.3324,33.9017,34.135,2402095,HSBC
2016-10-21,34.135,34.4096,34.0991,34.3055,2043871,HSBC
2016-10-24,34.4132,34.4311,34.0901,34.1709,1360966,HSBC
2016-10-25,34.1709,34.2875,34.0722,34.2068,1686863,HSBC
2016-10-26,33.9735,34.2606,33.9555,34.2068,1961683,HSBC
